Module_names,Signal_power,Logic_power,Static_Power(W),DC_power(W),Total_on_chip_power(W),Data_Path_Delay(ns),F7_Muxes,LUTs_as_Memory,LUTs_as_Logic,Slice_LUTs,LUT1,LUT2,LUT3,LUT4,LUT5,LUT6,LUT7,Slice_LUTs2,LUTs_as_logic2,LUTs_difference
top_CLA8,0.167,0.065,0.088,0.232,4.895,9.882,0,0,13,13,0,1,2,3,3,6,0,15,15,2
top_CLA16,0.5,0.194,0.156,0.694,11.046,12.463,0,0,35,35,0,6,4,8,5,22,0,45,45,10
top_CLA32,1.749,0.505,0.485,2.254,23.213,18.806,0,0,96,96,0,26,9,14,15,59,0,123,123,27
top_FIFO,2.113,1.717,0.28,3.83,15.772,8.537,88,0,275,275,4,3,3,3,43,225,0,281,281,6
top_traffic_controller,0.103,0.117,0.073,0.22,1.079,6.74,0,0,39,39,5,4,5,15,15,8,0,52,52,13
top_BA_4x4_Multiplier,0.143,0.08,0.083,0.22299999999999998,4.047,10.258,0,0,16,16,0,1,0,5,0,12,0,18,18,2
top_mealy,0.121,0.085,0.072,0.20600000000000002,0.694,6.93,0,0,12,12,2,0,3,3,3,3,0,14,14,2
top_moore,0.107,0.067,0.071,0.174,0.463,5.66,0,0,13,13,2,0,2,6,3,3,0,16,16,3
top_priority_encoder0,0.041,0.015,0.072,0.056,0.987,7.899,0,0,4,4,0,0,1,1,1,2,0,5,5,1
top_priority_encoder1,0.045,0.015,0.071,0.06,0.471,7.906,0,0,4,4,0,0,0,2,1,2,0,5,5,1
top_RCA,0.174,0.052,0.092,0.22599999999999998,5.603,9.575,0,0,8,8,0,0,4,0,8,0,0,12,12,4
top_convolution,40.428,39.629,0.485,80.05699999999999,80.929,59.158,0,0,2632,2632,39,732,200,280,230,1387,0,2868,2868,236
top_W_2R1_Reg_file,0.157,0.056,0.084,0.213,4.169,8.409,0,16,0,16,0,0,0,0,0,0,0,0,0,-16
